"Date","Less than HS","High school","Some college","Bachelor's degree","Advanced degree","Less than HS Share","High school Share","Some college Share","Bachelor's degree Share","Advanced degree Share"
"2022","$16.52","$21.94","$24.81","$41.60","$53.22","7.6%","26.0%","25.9%","25.6%","15.0%"
"2021","$16.74","$22.28","$24.92","$41.32","$53.45","7.5%","25.4%","26.6%","25.5%","14.9%"
"2020","$17.02","$22.70","$25.44","$41.65","$53.74","7.2%","25.2%","27.1%","25.5%","15.0%"
"2019","$16.11","$21.64","$24.00","$39.61","$51.57","8.0%","26.1%","27.7%","24.3%","13.8%"
"2018","$15.94","$21.50","$23.70","$38.87","$51.03","8.2%","25.9%","28.3%","24.1%","13.5%"
"2017","$15.92","$21.26","$23.31","$38.65","$49.40","8.4%","26.1%","28.7%","23.6%","13.2%"
"2016","$15.45","$21.00","$23.35","$38.73","$49.64","8.6%","26.3%","29.2%","23.0%","13.0%"
"2015","$15.25","$20.81","$23.17","$37.96","$48.42","8.8%","26.5%","29.2%","22.9%","12.6%"
"2014","$14.66","$20.34","$22.48","$36.47","$47.27","8.7%","27.1%","29.6%","22.5%","12.1%"
"2013","$14.62","$20.31","$22.50","$37.00","$48.54","8.8%","26.9%","30.0%","22.4%","11.8%"
"2012","$14.80","$20.50","$22.56","$36.76","$48.47","9.1%","27.3%","30.0%","22.0%","11.5%"
"2011","$14.96","$20.67","$22.90","$36.44","$47.56","9.4%","27.9%","29.8%","21.5%","11.4%"
"2010","$15.04","$21.06","$23.56","$37.42","$48.80","9.5%","28.2%","29.6%","21.5%","11.1%"
"2009","$15.41","$21.42","$23.82","$37.30","$49.12","10.0%","28.3%","29.7%","21.2%","10.8%"
"2008","$15.08","$20.93","$23.52","$37.04","$47.55","10.5%","28.8%","29.4%","20.8%","10.4%"
"2007","$15.19","$21.04","$23.84","$37.23","$47.31","11.4%","29.4%","28.9%","20.3%","10.0%"
"2006","$14.90","$21.17","$23.69","$36.99","$47.23","11.9%","29.6%","29.1%","19.6%","9.8%"
"2005","$14.96","$21.07","$23.76","$36.89","$47.09","12.0%","29.8%","29.2%","19.3%","9.7%"
"2004","$15.13","$21.33","$24.11","$36.78","$47.48","11.9%","30.1%","29.0%","19.4%","9.5%"
"2003","$15.27","$21.50","$24.19","$37.14","$46.79","12.3%","30.2%","29.0%","19.2%","9.2%"
"2002","$15.18","$21.39","$24.25","$37.26","$47.36","12.4%","30.6%","29.0%","18.9%","9.0%"
"2001","$14.88","$21.10","$24.05","$37.07","$46.23","12.8%","30.9%","29.1%","18.4%","8.8%"
