"Date","Median","Average"
"2022","$22.88","$32.00"
"2021","$23.05","$32.08"
"2020","$23.64","$32.54"
"2019","$22.12","$30.36"
"2018","$21.90","$29.83"
"2017","$21.55","$29.21"
"2016","$21.36","$29.00"
"2015","$20.99","$28.43"
"2014","$20.65","$27.36"
"2013","$20.63","$27.54"
"2012","$20.53","$27.41"
"2011","$20.79","$27.26"
"2010","$21.32","$27.84"
"2009","$21.45","$27.90"
"2008","$20.99","$27.20"
"2007","$21.15","$27.11"
"2006","$21.11","$26.80"
"2005","$21.03","$26.69"
"2004","$21.35","$26.88"
"2003","$21.11","$26.85"
"2002","$21.10","$26.80"
"2001","$20.78","$26.32"
"2000","$20.47","$25.84"
"1999","$20.35","$25.53"
"1998","$19.85","$24.94"
"1997","$19.16","$24.16"
"1996","$18.78","$23.72"
"1995","$19.09","$23.72"
"1994","$19.36","$23.82"
"1993","$19.58","$23.42"
"1992","$19.28","$23.30"
"1991","$19.09","$23.28"
"1990","$19.25","$23.18"
"1989","$19.28","$23.24"
"1988","$19.32","$23.87"
"1987","$19.58","$23.68"
"1986","$19.36","$23.54"
"1985","$19.23","$22.99"
"1984","$18.94","$22.74"
"1983","$18.85","$22.66"
"1982","$18.81","$22.62"
"1981","$18.89","$22.42"
"1980","$19.09","$22.54"
"1979","$19.21","$23.00"
"1978","$19.54","$22.80"
"1977","$19.36","$22.75"
"1976","$19.34","$22.88"
"1975","$19.39","$22.62"
"1974","$19.38","$22.57"
"1973","$19.77","$22.99"
